No-Intro Name,Game Title,Game Code,ROM Version,Byte-Order,SHA256
All-Star Baseball 99 (USA),All Star Baseball 99,NBSE,0 (0x00),big,018f19f4174f4efd2c2bb7aabf92a9218436bdbbf2fd65085801d6c86a0a9516
Armorines - Project S.W.A.R.M. (Europe),Armorines Project S.,NARP,0 (0x00),big,558588b3649c7313cc694610ce81344dfe9a829d63e315c7c108d1a27d7d987b
Armorines - Project S.W.A.R.M. (Germany),Armorines Project S.,NARD,0 (0x00),big,aebd316ab12bae8bf84f2cab21023a3cb08ae1bec04f6bc574cad415dfb3c090
Armorines - Project S.W.A.R.M. (USA),Armorines Project S.,NARE,0 (0x00),big,6c999d00089e384a1d85bec52c3474d789f905a49726fc1d901cdc367ebf7524
Army Men - Air Combat (USA),ARMYMENAIRCOMBAT,NACE,0 (0x00),big,9edae0d4d39ccb493bfaf8dcd3075db2582dea1b70ffcc477ee15a0048d97eea
"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",Army Men Sarge,NAMP,0 (0x00),big,25d3091b4d0713099006933349c4b6e01e79e1f108596abbc5342a4d7d647066
Army Men - Sarge's Heroes (USA),Army Men Sarge,NAME,0 (0x00),big,b1992d8069cb7c14d5be4c351578058631cae9e1b2f29656ae7fb9d5ecc1dc22
Army Men - Sarge's Heroes 2 (USA),ARMYMEN SARGE 2,N32E,0 (0x00),big,ee8568e107b6d33128a5384d7614acac530cc834417e2c8e3d65e7ed9b82d546
Asteroids Hyper 64 (USA),Asteroids Hyper 64,NAHE,0 (0x00),big,db8871295af1083038d959f1a4c8ac43a8b7cafb84bcc9717ef0c9f4bd6b60b8
Automobili Lamborghini (Europe),LAMBORGHINI,NLCP,0 (0x00),big,740a878157b15c0cd65e2623dea3ab9c90b6984ad709d8543b7e50f33e88fc62
Automobili Lamborghini (USA),LAMBORGHINI,NLCE,0 (0x00),big,cab2467684a58bc19c787423d704a961aa497629763367d9fe691172de58591c
Baku Bomberman (Japan),BAKU-BOMBERMAN,NBMJ,0 (0x00),big,7a36567a0a26dfdcb6f24eb454be9f9cd815cf96d6660867845e8a55434084cf
Baku Bomberman 2 (Japan),BAKUBOMB2,NBVJ,0 (0x00),big,45c622c2e6d65ceb255c531b499c78d0e1880c32e9e9d7b804c617549f3da7cb
Bakuretsu Muteki Bangaioh (Japan),BANGAIOH,NBNJ,0 (0x00),big,60f0117bd8e48f8049a72f5b8bd0957f08282f2b687f0a1fea71f4597dfd4c4a
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),64,NBJJ,0 (0x00),big,2e48f2efdd1895d7d5b3119ca4b3abb4b509249389f9b6d6e3c74cfe4a20c530
Banjo to Kazooie no Daibouken (Japan),Banjo-Kazooie,NBKJ,0 (0x00),big,f766bdb553dd38bf1ce1b9395647aa44abb85503ef08592c8c1a94b15eb6dbfb
Banjo to Kazooie no Daibouken 2 (Japan),BANJO KAZOOIE 2,NB7J,0 (0x00),big,0abe75ee302623440c6af4ab1f702f0874ce290865eddef09f816ed10216a54d
"Banjo-Kazooie (Europe) (En,Fr,De)",Banjo-Kazooie,NBKP,0 (0x00),big,d4e7534d8bcdc329386bf28dcb86e35136e793622f3e6913342500d17e89a931
Banjo-Kazooie (USA),Banjo-Kazooie,NBKE,0 (0x00),big,59875835b9a5128bb0054315a7f929e2071c2001e528d70bf543e1d6680e6eff
Banjo-Kazooie (USA) (Rev 1),Banjo-Kazooie,NBKE,1 (0x01),big,f9ad43f64c3a38b0ca4067e24f570dcb8f3f8fec077c5c342484bcbec7ff6d22
Banjo-Tooie (Australia),BANJO TOOIE,NB7U,0 (0x00),big,017495239c491c5f3575de171527732a80b597cbb6331bfa984efc677801df43
"Banjo-Tooie (Europe) (En,Fr,De,Es)",BANJO TOOIE,NB7P,0 (0x00),big,82d5b9062263daad5108645049de3f06c9db00a2eeffa409876af74e43437748
Banjo-Tooie (USA),BANJO TOOIE,NB7E,0 (0x00),big,9ec37fba6890362eba86fb855697a9cff1519275531b172083a1a6a045483583
Bass Rush - ECOGEAR PowerWorm Championship (Japan),Bass Rush,NVBJ,0 (0x00),big,e0ccd9ca6f27ac49d28d72eb7978be7eaf43ec0dd15c532be2312a0d6387f526
Bassmasters 2000 (USA),BASSMASTERS2000,NB4E,0 (0x00),big,dece8932dfdcb7f42e4118c4f763b198098fee854c90cfe71e8d5bd2e6e02efe
Bassmasters 2000 (USA) (Beta),(empty),(unknown),0 (0x00),big,8c638f6d2e7ad367d7bd207fbdf4d62b12734dd23a54e195427ee6adfe114cd0
Batman Beyond - Return of the Joker (USA),BATMAN BEYOND RETURN,NJQE,0 (0x00),big,7ce0f1304c46f16613ff3d414c9b011a0a34bcd2a67db1b3cbd063cfb7d5d38b
"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",BATMAN OF THE FUTURE,NJQP,0 (0x00),big,f96affc5a89bff0843a2e35a6dee9ea1fe8ae65719519a742780877419f5ce60
"BattleTanx - Global Assault (Europe) (En,Fr,De)",BATTLETANXGA,NBQP,0 (0x00),big,8c0f538d32243d7d230ff28432326fbb17ea59bec2e2d9815dc04317dbe70db0
BattleTanx - Global Assault (USA),BATTLETANXGA,NBQE,0 (0x00),big,88268ce770ff39f2ca839848b842c87866df6c5ddaf775f180b2522c18ff6221
BattleTanx (USA),BATTLETANX,NBXE,0 (0x00),big,c5b7cf3523de025e3f18e2c8df2deb0eced5613e7c46cb8c6c5a4f22644ead3f
Battlezone - Rise of the Black Dogs (USA),BATTLEZONE,NZOE,0 (0x00),big,67d85ce25cb54aba71191cde04c230a3883a2b7e49581b6f309219c61ace0bcc
"Beetle Adventure Racing! (Europe) (En,Fr,De)",Beetle Adventure Rac,NNSP,0 (0x00),big,ef0c7bfa39712b841cc0d5b87ab6f8faf15a6877e587168a48ddff0c9c3bef87
Beetle Adventure Racing! (Japan),BEETLE ADVENTURE JP,NB8J,0 (0x00),big,26bd3bbea7773aa46c5b94e4570fad5c413cc933ee06166718017732bddd851e
"Beetle Adventure Racing! (USA) (En,Fr,De)",Beetle Adventure Rac,NNSE,0 (0x00),big,6addd60de277c83351eff83099e4dab25ac45279b6401728cfda9eea2f1380df
Big Mountain 2000 (USA),Big Mountain 2000,NMUE,0 (0x00),big,d42bf9fd1a49daff13a4626196b2fc5f3d8af27b607ce7eabfec0addaec7abee
Bio F.R.E.A.K.S. (Europe),BIOFREAKS,NBFP,0 (0x00),big,66037309dc4d7619ff31548e3ed9bf3cd1e3d0f17e484aee87f748bf6e42ade6
Bio F.R.E.A.K.S. (USA),BIOFREAKS,NBFE,0 (0x00),big,7967e3d7a8441339b7e58f2180404034fc44548a477fbce73caf546eb50d74a3
Biohazard 2 (Japan),BioHazard II,NB5J,0 (0x00),big,f64a3c4a3873cf145e577ee710366fd638bb8d03f6f01549f81e04df738fd425
"Blast Corps (Europe) (En,De)",Blast Corps,NBCP,0 (0x00),big,9a9246c1128ae4e1cfc6b9b0137894a9575202ce9cd62bf4b9405fb0cdfbd506
Blast Corps (USA),Blast Corps,NBCE,0 (0x00),big,902769f9d27d888a35d8bdbec88ae9f4f3f33583323475678e99b6456eeaa6f5
Blast Corps (USA) (Rev 1),Blast Corps,NBCE,1 (0x01),big,42e4d8cde3c106637a25bbfa62d74cc2e5c1eed1d64de5bbb0b1c4896b185927
Blastdozer (Japan),Blastdozer,NBCJ,0 (0x00),big,88b8ab9ea99dd0d226c3699d1386c7e4b3253ce0b4ab1d298855a4c82bd28229
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)",BLUES BROTHERS 2000,NBPP,0 (0x00),big,2a7540a8cb2d0f2eec24bc99e8c9af505a17f32e3aa2e43394a4ac94867dc2c8
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#20)",(empty),(unknown),0 (0x00),big,89c1bedc4035cc14af28d11b5e223ca83bab824b2f6ab5940c9bac158b39d25c
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53)",(empty),(unknown),0 (0x00),big,b749fcead39e4f02e362620f7e3efba4efe4967dc82b89cbf7facea3ccdbefba
Blues Brothers 2000 (USA),BLUES BROTHERS 2000,NBPE,0 (0x00),big,3ca0ac99c1611125783d474825b9d912b7b2e491d17468b0db6fb29b941fc985
"Body Harvest (Europe) (En,Fr,De)",Body Harvest,NBHP,0 (0x00),big,e0340a9656384420eab6c92ac6e2d0b6eba38cb527cf1ec26e4b2057964984a4
Body Harvest (USA),BODY HARVEST,NBHE,0 (0x00),big,d4b2654d6d903e43454bffdf025eeb4a954d8fafefab64dc5f8cf0e6dd392a74
Bokujou Monogatari 2 (Japan),2,NYWJ,0 (0x00),big,d59d97b15e2282e279ea6097d69d013d59941722d918a911bf1618b31ab8d428
Bokujou Monogatari 2 (Japan) (Rev 1),2,NYWJ,1 (0x01),big,914ad2eb454fb7382be9e88670e580d265106b08fbe68a6f2db5fbaa3e57fe7f
Bokujou Monogatari 2 (Japan) (Rev 2),2,NYWJ,2 (0x02),big,fd0390c22834604f4c894d7507f6d6ba768fea60aa374d1382bde535c02cc265
Bomberman 64 - The Second Attack! (USA),BOMBERMAN64U2,NBVE,0 (0x00),big,96f641120471a1d5dab848dffdeeeeb7c4002333a06763ae20e14af72126efd8
Bomberman 64 (Europe),BOMBERMAN64E,NBMP,0 (0x00),big,412112a3a7dbd712c9d7420028144b47691768aa6a26846c897abae8c9a69157
Bomberman 64 (Japan),BOMBERMAN64,NHAJ,0 (0x00),big,5c7fb711f3885f3d8682955e5c88e4bb47c9bfbb996d8423b6da8f1e8f8884a2
Bomberman 64 (USA),BOMBERMAN64U,NBME,0 (0x00),big,e6da7c26127788cd894b88b71cc055ff9dec0d0f4f8e10d9b15b40153af2b52a
Bomberman Hero - Mirian Oujo o Sukue! (Japan),(empty),NBDJ,0 (0x00),big,ce37c2dd12c17f413d94f802760ebf669ceef964044beb44879b3f87e40881d7
Bomberman Hero (Europe),BOMBERMAN HERO,NBDP,0 (0x00),big,f0323b303dfd4fc0f8eafba20aa8dac25c764ec8ec7a2e4d5933d38f5a763fc3
Bomberman Hero (USA),BOMBERMAN HERO,NBDE,0 (0x00),big,e021ec484a88c528256dbff80617e599768b074b0918dcec081ecbf365386542
Bottom of the 9th (USA),Bottom of the 9th,NBOE,0 (0x00),big,f814ecc17de9e4035c324b35f636cef299149e8bf96b9d46fe07fbbcfb98cae3
Brunswick Circuit Pro Bowling (USA),BRUNSWICKBOWLING,NOWE,0 (0x00),big,0820db5f76a45bbbe6323176b70d4a93256ccde925aee91a6bb500fd0fbd859a
"Buck Bumble (Europe) (En,Fr,De,Es,It)",BUCK BUMBLE,NBLP,0 (0x00),big,3ac266d98a84f01174ad7ffbb532f3e3bc041a57ebc8874c0b45bb062899a6db
Buck Bumble (Japan),BUCK BUMBLE,NBLJ,0 (0x00),big,9b4be33fe5adbc911e69546bcb0149c380f00f02c669539411a8cf1d78714ff4
Buck Bumble (USA),BUCK BUMBLE,NBLE,0 (0x00),big,d21e3d1c2ec4d7f025cfaa119553be9a5fa87a9fd6625ef1ef44dc1d4b0aa54b
"Bug's Life, A (Europe)",A Bug's Life,NBYP,0 (0x00),big,2c67a977be8c159298d3e1e93e1f2d390994037d73ac786705943ee3dcd9ee53
"Bug's Life, A (France)",A Bug's Life,NBYF,0 (0x00),big,ca95b985145db27f39d08166829df792a08fb83192368aa4acf9174efa53b12d
"Bug's Life, A (Germany)",A Bug's Life,NBYD,0 (0x00),big,296969309890de4f1b0b62ca6f8b0ad29742a26817794e33d6ee4846676b137b
"Bug's Life, A (Italy)",A Bug's Life,NBYI,0 (0x00),big,9e1fe3d012dbe9814e4ef36dab7c18c1a84edf9bdfb7df4d04cea2134e5f3853
"Bug's Life, A (USA)",A Bug's Life,NBYE,0 (0x00),big,a9a3ad10d2660e0fa8c1c23c6a75f900ee2882569917abab6e258f3bd333a3e4
Bust-A-Move 2 - Arcade Edition (Europe),Bust A Move 2,NBUP,0 (0x00),big,4536d1d05d0f8cfe84926d758e538ecbf5264debdea9dd87292141a2edbd32d0
Bust-A-Move 2 - Arcade Edition (USA),Bust A Move 2,NBUE,0 (0x00),big,fb92418bf3673d128807a13a16afc4b3c75f8c04944eea128435d69a1bdf13e9
Bust-A-Move 3 DX (Europe),Bust A Move 3 DX,NB3P,0 (0x00),big,b8847b703aff8ff887d58b482067fc8dece91856503685b20249c25066c4657c
Bust-A-Move 3 DX (USA) (Beta) (1998-08-28),Bust A Move 3,NB3E,0 (0x00),big,253edfb7b9ae7b5de846669978dc949ab2b239982b66792df02d50e86e4897e0
Bust-A-Move '99 (USA),Bust A Move '99,NB3E,0 (0x00),big,2932dae8bcce7cb86bbc15c5f1cca96ba5838c486398d445b248276f1203b501
California Speed (Europe) (Proto),CAL SPEED,NCLP,0 (0x00),big,42461fe5caba754c5a669220cb8352a4907a32c0e1f93accdd1a23e2e44892ec
California Speed (USA),CAL SPEED,NCLE,0 (0x00),big,32d083c6570a92614f7ed8221b136ca45eb3d06ca98d8a8342e0a366563ba791
"Carmageddon 64 (Europe) (En,Fr,De,Es)",CARMAGEDDON64,NCDX,0 (0x00),big,ac47515585ced9013e6a261d4da8216936f68119a1ea084fe5d6c395fa6abee7
"Carmageddon 64 (Europe) (En,Fr,Es,It)",CARMAGEDDON64,NCDY,0 (0x00),big,9cba33550c919fbeeef732b2b4345f309b7e95c9f8d0384a38fe44ba185b1d29
Carmageddon 64 (USA),CARMAGEDDON64,NCDE,0 (0x00),big,533a15b5da737fcbb2ae062d1cf2fc7552d64d7ac67293a76c70ebcdd354b01e
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21),CARNIVAL,NSYE,0 (0x00),big,bb85e7dc83d645755967e70ac3e557afc31217474805884f4a31d4f750060b0d
"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",CASTLEVANIA2,ND4P,0 (0x00),big,e78c172c1d554d1c94865969cec9b87a2149c92ec69ebc52b73a46648b5b2395
Castlevania - Legacy of Darkness (USA),CASTLEVANIA2,ND4E,0 (0x00),big,89e15df6042defddc48c61f7408f99d06fffdb845e2422cf8b5ba8e73d4d70fb
"Castlevania (Europe) (En,Fr,De)",CASTLEVANIA,ND3P,0 (0x00),big,902f060c7787ffdf83f547203eb1182c737714a2bec5f42c409f05b26ecdb9dc
Castlevania (USA),CASTLEVANIA,ND3E,0 (0x00),big,0237b439a3adcc2e6c1b24b4ff1b24d2f0d8f04a2d0cc29b8b67cb075f1903c5
Castlevania (USA) (Rev 1),CASTLEVANIA,ND3E,1 (0x01),big,d7ac93315463b968eb0b628d9047c96b72666c93b72752ab729764a3aca59eee
Castlevania (USA) (Rev 2),CASTLEVANIA,ND3E,2 (0x02),big,0f53f12e85bcf5799c8c8e9e71957e20c434f8f5823ab95bd1f54c33c16e7b1c
Centre Court Tennis (Europe),CENTRE COURT TENNIS,NTSP,0 (0x00),big,872ada665b49641f97b3b6e7bb1ebbc09487d6b5fb6ab92a1e5802f5c3e669fb
Chameleon Twist (Europe),Chameleon Twist,NCTP,0 (0x00),big,b804e8fe18937ddcc781aa8746feefeaec90dcf55dd42f08e78445891ca5f301
Chameleon Twist (Japan),Chameleon Twist,NCTJ,0 (0x00),big,0e336471285028ba12528a5b6182f95e069e15d12d752b5cbc48368160afed8a
Chameleon Twist (USA),Chameleon Twist,NCTE,0 (0x00),big,3fbf3b4fd1abf27cde4f100e646e43d99c24afe0120a77fd66fe80b15ae0a5b8
Chameleon Twist (USA) (Rev 1),Chameleon Twist,NCTE,1 (0x01),big,8ca37d6dc7f3fbd78211d4ed2274cf9c8ac315f81dafa4e2d636e771fdff36c5
Chameleon Twist 2 (Europe),Chameleon Twist2,N2VP,0 (0x00),big,ae74febfcef8c41c3ce8b633720252b8b067273ecb8e60c7ed13601326b484b2
Chameleon Twist 2 (Japan),Chameleon Twist2,NV2J,0 (0x00),big,5b9a8acbee9f677e134232c3b2270848922771072e35a1a2c067bc8e3378758b
Chameleon Twist 2 (USA),Chameleon Twist2,N2VE,0 (0x00),big,43ecfea060ac708446769c2049b9a75beb34be4d0f0aa89dba49c839ccac8ee4
Charlie Blast's Territory (Europe),CHARLIE BLAST'S,NCBP,0 (0x00),big,ee5608476461947552c8969c217d9eb34065115ce86769f0b00c0f7817c298d9
Charlie Blast's Territory (USA),CHARLIE BLAST'S,NCBE,0 (0x00),big,7a201d5cc030a921425aa1583edcecdf4394a258819be46c3a0d557c8d1fd7e5
Chopper Attack (Europe),CHOPPER_ATTACK,NCHP,0 (0x00),big,7f6f4b79dbc80843edc1f9ac67c5e936febcf2d70f93b7434d2698ad8e00b8e2
Chopper Attack (USA),CHOPPER_ATTACK,NCHE,0 (0x00),big,669fd3b75a5fb3db077f76d1cc74fc3396698d208945511567823165e2515f4d
Choro Q 64 (Japan),CHOROQ64,NCRJ,0 (0x00),big,e54dd88e65c6a14b7d591118c18d1c69551de334dbebba43d70a96162d63ba32
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),Q64 2,NCGJ,0 (0x00),big,e017605014c4565f88eb58caba5bad7b038693a0db08f2e67dbd4e854bf2bcf1
Chou Kuukan Nighter Pro Yakyuu King (Japan),PROYAKYUKING,NPKJ,0 (0x00),big,a8267610ebf5832a222de6689a8364ce60b981bc327fbe83bf3871f9e6275255
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),2,NP2J,0 (0x00),big,aa02595a3f33ed848d59d06523b2ad0ccad294506827369e3e4c4f826a7a59df
Chou Snobo Kids (Japan),(empty),NK2J,0 (0x00),big,223416525fe25ef4f74ab829bcc4208c1c3591aa19760c9a4e9cefff17170e4d
City-Tour GP - Zen-Nihon GT Senshuken (Japan),CITY TOUR GP,NGTJ,0 (0x00),big,8229117b9a8f1d9bfb96e9cc05e5dcd3ad4432d63b5f418c621f953ba554026a
Clay Fighter - Sculptor's Cut (USA),Clayfighter SC,NC2E,0 (0x00),big,9ccebc317b7ee892be3bdc0d1c8ae46687995908ed51ebd58d6855e5e25abd7f
Clay Fighter 63 1-3 (Europe),CLAYFIGHTER 63,NCFP,0 (0x00),big,bcab31d4590161691f0eb0ca79cdfbdfd145b647ea78ab1b34b9a7ea4b42f5f6
Clay Fighter 63 1-3 (USA),CLAYFIGHTER 63,NCFE,0 (0x00),big,357f26c6cd72559c5c05e8c2df46369624630dbcb1c02b3b6f3338f6ac79af07
Clay Fighter 63 1-3 (USA) (Beta),CLAYFIGHTER 63,NCFE,48 (0x30),big,95fce9f0de21241ec59c96eff75e6445f88a01b667e45a124089a299fca251c7
"Command & Conquer (Europe) (En,Fr)",Command&Conquer,NCCP,0 (0x00),big,55ad032b303c0006da8d2efe732af32ea2cd7c1f3d2b2b0bcab3c71201229cb7
Command & Conquer (Germany),Command&Conquer,NCCD,0 (0x00),big,2c43a3277d7b3664ec4aad9e3db65a65d82da229bbf6808802cdf9fe1a39ab72
Command & Conquer (USA),Command&Conquer,NCCE,0 (0x00),big,cd9113ba6ca54912c08378eef084e1bbb47f0609a8543702e1c07f89d053f908
Conker's Bad Fur Day (Europe),CONKER BFD,NFUP,0 (0x00),big,8717054d8edcf1bb9fb4607c7ac8fe4d6fb855fe6506f7e5dcba62e414558178
Conker's Bad Fur Day (USA),CONKER BFD,NFUE,0 (0x00),big,32e6a8b970ec12ac5f782344945aa0c98a193832eefb687529d03bab6948714b
Conker's Bad Fur Day (USA) (Beta) (2000-08-26) (ECTS 2000),CBFD ECTS,NFUE,0 (0x00),big,dabfed4967a67709730f5e5b1bdc27c3d9d75480a9c89c464a6409deacf57acf
Conker's Bad Fur Day (USA) (Beta) (2000-10-25),CONKER BFD DEBUG,NFUE,0 (0x00),big,46aed7f7b022c4bed93503b648097c4a741a465a8b61d1964921270126a3316d
